ITA,Industrials,1
XAR,Industrials,1
DFEN,Industrials,1
FITE,Industrials,1
MOO,Materials,2
CROP,Materials,2
VEGI,Materials,2
FTAG,Materials,2
DIET,Materials,2
JETS,Industrials,1
CARZ,Consumer Discretionary,3
KBE,Financials,4
HDGE,Financials,4
KBWB,Financials,4
FTXO,Financials,4
BBH,Healthcare,5
XBI,Healthcare,5
IBB,Healthcare,5
FBT,Healthcare,5
PBE,Healthcare,5
BIB,Healthcare,5
BIS,Healthcare,5
ARKG,Healthcare,5
BBP,Healthcare,5
BBC,Healthcare,5
SBIO,Healthcare,5
LABU,Healthcare,5
LABD,Healthcare,5
UBIO,Healthcare,5
ZBIO,Healthcare,5
CNCR,Healthcare,5
BTEC,Healthcare,5
IEIH,Healthcare,5
GNOM,Healthcare,5
IDNA,Healthcare,5
SIJ,Industrials,1
SDP,Utilities,6
SMN,Materials,2
RXD,Healthcare,5
REW,Technology,7
SKF,Financials,4
SRS,Real Estate,8
SEF,Financials,4
VOX,Telecom,9
IYZ,Telecom,9
IXP,Telecom,9
LTL,Telecom,9
IEV,Consumer Staples,10
PFI,Financials,4
FXO,Financials,4
VFH,Financials,4
IYF,Financials,4
IXG,Financials,4
RYF,Financials,4
XLF,Financials,4
UYG,Financials,4
RWW,Financials,4
TAO,Real Estate,8
IFGL,Real Estate,8
WPS,Real Estate,8
RWX,Real Estate,8
FFR,Real Estate,8
DRW,Real Estate,8
IFEU,Real Estate,8
RWO,Real Estate,8
GRI,Real Estate,8
IYH,Healthcare,5
XLV,Healthcare,5
VHT,Healthcare,5
IXJ,Healthcare,5
FXH,Healthcare,5
RYH,Healthcare,5
PTH,Healthcare,5
RXL,Healthcare,5
RHS,Consumer Staples,10
RGI,Industrials,1
RCD,Consumer Discretionary,3
IYJ,Industrials,1
UXI,Industrials,1
FXR,Industrials,1
XLP,Consumer Staples,10
VDC,Consumer Staples,10
PSL,Consumer Staples,10
KXI,Consumer Staples,10
PEZ,Consumer Discretionary,3
XLY,Consumer Discretionary,3
VCR,Consumer Discretionary,3
RXI,Consumer Discretionary,3
PPA,Industrials,1
PEJ,Consumer Discretionary,3
FXD,Consumer Discretionary,3
PRN,Industrials,1
XLI,Industrials,1
EXI,Industrials,1
VIS,Industrials,1
RTM,Materials,2
XLB,Materials,2
VAW,Materials,2
FXZ,Materials,2
MXI,Materials,2
PYZ,Materials,2
IYM,Materials,2
XME,Materials,2
UYM,Materials,2
IYR,Real Estate,8
VNQ,Real Estate,8
FRI,Real Estate,8
RWR,Real Estate,8
