date,WTB3MS
08/01/1954,1.3
15/01/1954,1.28
22/01/1954,1.11
29/01/1954,1.01
05/02/1954,0.99
12/02/1954,0.91
19/02/1954,0.98
26/02/1954,0.98
05/03/1954,1.03
12/03/1954,1.04
19/03/1954,1.02
26/03/1954,1.03
02/04/1954,1.03
09/04/1954,1
16/04/1954,1.04
23/04/1954,0.99
30/04/1954,0.82
07/05/1954,0.75
14/05/1954,0.8
21/05/1954,0.79
28/05/1954,0.71
04/06/1954,0.69
11/06/1954,0.61
18/06/1954,0.63
25/06/1954,0.62
02/07/1954,0.65
09/07/1954,0.66
16/07/1954,0.72
23/07/1954,0.74
30/07/1954,0.78
06/08/1954,0.79
13/08/1954,0.91
20/08/1954,0.92
27/08/1954,0.99
03/09/1954,1.03
10/09/1954,1.02
17/09/1954,1.02
24/09/1954,0.99
01/10/1954,0.99
08/10/1954,0.94
15/10/1954,0.98
22/10/1954,1
29/10/1954,1
05/11/1954,1
12/11/1954,0.9
19/11/1954,0.89
26/11/1954,0.92
03/12/1954,1.02
10/12/1954,1.09
17/12/1954,1.25
24/12/1954,1.23
31/12/1954,1.08
07/01/1955,1.09
14/01/1955,1.28
21/01/1955,1.32
28/01/1955,1.24
04/02/1955,1.11
11/02/1955,1.05
18/02/1955,1.16
25/02/1955,1.35
04/03/1955,1.29
11/03/1955,1.23
18/03/1955,1.26
25/03/1955,1.3
01/04/1955,1.37
08/04/1955,1.5
15/04/1955,1.63
22/04/1955,1.65
29/04/1955,1.62
06/05/1955,1.55
13/05/1955,1.42
20/05/1955,1.41
27/05/1955,1.44
03/06/1955,1.37
10/06/1955,1.41
17/06/1955,1.47
24/06/1955,1.37
01/07/1955,1.43
08/07/1955,1.51
15/07/1955,1.57
22/07/1955,1.61
29/07/1955,1.71
05/08/1955,1.88
12/08/1955,1.87
19/08/1955,1.84
26/08/1955,1.9
02/09/1955,2.08
09/09/1955,2.1
16/09/1955,2.06
23/09/1955,1.99
30/09/1955,2.11
07/10/1955,2.21
14/10/1955,2.26
21/10/1955,2.25
28/10/1955,2.21
04/11/1955,2.06
11/11/1955,2.05
18/11/1955,2.29
25/11/1955,2.41
02/12/1955,2.41
09/12/1955,2.48
16/12/1955,2.54
23/12/1955,2.63
30/12/1955,2.58
06/01/1956,2.51
13/01/1956,2.53
20/01/1956,2.39
27/01/1956,2.28
03/02/1956,2.29
10/02/1956,2.26
17/02/1956,2.35
24/02/1956,2.4
02/03/1956,2.24
09/03/1956,2.24
16/03/1956,2.36
23/03/1956,2.26
30/03/1956,2.21
06/04/1956,2.38
13/04/1956,2.55
20/04/1956,2.74
27/04/1956,2.71
04/05/1956,2.61
11/05/1956,2.55
18/05/1956,2.67
25/05/1956,2.65
01/06/1956,2.55
08/06/1956,2.53
15/06/1956,2.51
22/06/1956,2.41
29/06/1956,2.48
06/07/1956,2.34
13/07/1956,2.33
20/07/1956,2.26
27/07/1956,2.32
03/08/1956,2.29
10/08/1956,2.4
17/08/1956,2.64
24/08/1956,2.82
31/08/1956,2.72
07/09/1956,2.69
14/09/1956,2.79
21/09/1956,2.91
28/09/1956,2.94
05/10/1956,2.87
12/10/1956,2.96
19/10/1956,2.94
26/10/1956,2.86
02/11/1956,2.85
09/11/1956,2.9
16/11/1956,2.99
23/11/1956,3.05
30/11/1956,3.08
07/12/1956,3.12
